"ID"	"read"	"raw_numseqs"	"raw_sumlen"	"trim_numseqs"	"trim_sumlen"	"filt_numseqs"	"filt_sumlen"	"rawtotrim"	"trimtofilt"	"rawtofilt"
"41"	"ARS9"	"forward"	5733236	859985400	5621860	838025317	5323355	793686349	0.019426376308249	0.0530971955900716	0.0714920857958751
"42"	"ARS9"	"reverse"	5733236	859985400	5621860	834784691	5323355	790634042	0.019426376308249	0.0530971955900716	0.0714920857958751
"43"	"NDSU10"	"forward"	3818324	572748600	2758531	408441477	2590541	384219279	0.277554497732513	0.0608983549577656	0.32155024036724
"44"	"NDSU10"	"reverse"	3818324	572748600	2758531	408127228	2590541	384127394	0.277554497732513	0.0608983549577656	0.32155024036724
"45"	"NDSU12"	"forward"	3849504	577425600	2879337	426189576	2748021	407414351	0.252023897104666	0.0456063322910795	0.286136343799097
"46"	"NDSU12"	"reverse"	3849504	577425600	2879337	423749589	2748021	406129808	0.252023897104666	0.0456063322910795	0.286136343799097
"47"	"NDSU13"	"forward"	5603079	840461850	4236899	625358435	1929532	286007545	0.243826653166946	0.544588624840951	0.655630056260138
"48"	"NDSU13"	"reverse"	5603079	840461850	4236899	622237293	1929532	285899925	0.243826653166946	0.544588624840951	0.655630056260138
"49"	"NDSU15"	"forward"	12968262	1945239300	12667150	1887992428	11458573	1708309885	0.0232191484101725	0.0954103330267661	0.116414134754526
"50"	"NDSU15"	"reverse"	12968262	1945239300	12667150	1886657559	11458573	1707024429	0.0232191484101725	0.0954103330267661	0.116414134754526
"51"	"NDSU16"	"forward"	3423423	513513450	3329017	494460258	3112113	462389270	0.027576492884461	0.0651555699475251	0.0909353007209451
"52"	"NDSU16"	"reverse"	3423423	513513450	3329017	494843608	3112113	462799999	0.027576492884461	0.0651555699475251	0.0909353007209451
"53"	"NDSU17"	"forward"	4815598	722339700	4735330	706437899	4509445	672853060	0.0166683348568547	0.0477020608912156	0.0635752818237735
"54"	"NDSU17"	"reverse"	4815598	722339700	4735330	703773161	4509445	670326775	0.0166683348568547	0.0477020608912156	0.0635752818237735
"55"	"NDSU18"	"forward"	5571960	835794000	4819847	712554092	2529532	375429141	0.134981765841822	0.475184170783844	0.546024738153181
"56"	"NDSU18"	"reverse"	5571960	835794000	4819847	708992439	2529532	374299128	0.134981765841822	0.475184170783844	0.546024738153181
"57"	"NDSU19"	"forward"	3635004	545250600	3043363	450353317	2931642	434572411	0.162762131761065	0.0367097188209228	0.193496898490346
"58"	"NDSU19"	"reverse"	3635004	545250600	3043363	448774657	2931642	433798178	0.162762131761065	0.0367097188209228	0.193496898490346
"59"	"NDSU20"	"forward"	7515937	1127390550	7291294	1084882912	6166469	917921515	0.0298888881053686	0.154269598784523	0.179547540113761
"60"	"NDSU20"	"reverse"	7515937	1127390550	7291294	1082771405	6166469	916186388	0.0298888881053686	0.154269598784523	0.179547540113761
"61"	"NDSU21"	"forward"	8915015	1337252250	8703252	1295012941	8186642	1218509820	0.0237535214466829	0.0593582720573873	0.081701825515717
"62"	"NDSU21"	"reverse"	8915015	1337252250	8703252	1291602651	8186642	1215321036	0.0237535214466829	0.0593582720573873	0.081701825515717
"63"	"NDSU22"	"forward"	8340015	1251002250	8118926	1207679984	7581571	1128132971	0.0265094247432409	0.0661854782270463	0.0909403640161319
"64"	"NDSU22"	"reverse"	8340015	1251002250	8118926	1205743962	7581571	1126324710	0.0265094247432409	0.0661854782270463	0.0909403640161319
"65"	"NDSU24"	"forward"	5509306	826395900	5018378	745941447	4634806	689487281	0.0891088641654684	0.0764334611701231	0.158731426426486
"66"	"NDSU24"	"reverse"	5509306	826395900	5018378	739975245	4634806	685633873	0.0891088641654684	0.0764334611701231	0.158731426426486
"67"	"NDSU25"	"forward"	10615496	1592324400	10409378	1548931010	9875570	1469891508	0.0194167093087313	0.0512814502461146	0.0697024425424869
"68"	"NDSU25"	"reverse"	10615496	1592324400	10409378	1545766219	9875570	1466925665	0.0194167093087313	0.0512814502461146	0.0697024425424869
"69"	"NDSU26"	"forward"	8939789	1340968350	7785791	1153917966	7296005	1082773457	0.129085596986685	0.0629076737353982	0.183872796102906
"70"	"NDSU26"	"reverse"	8939789	1340968350	7785791	1145044732	7296005	1076714663	0.129085596986685	0.0629076737353982	0.183872796102906
"71"	"NDSU28"	"forward"	5412629	811894350	5054879	747588236	2288222	340494670	0.0660954223908566	0.547324080358798	0.577243886473653
"72"	"NDSU28"	"reverse"	5412629	811894350	5054879	741571525	2288222	337932595	0.0660954223908566	0.547324080358798	0.577243886473653
"73"	"NDSU29"	"forward"	8777348	1316602200	8527050	1269353820	8040967	1197420816	0.0285163582439707	0.0570048258190113	0.0838956140282919
"74"	"NDSU29"	"reverse"	8777348	1316602200	8527050	1263283180	8040967	1191705616	0.0285163582439707	0.0570048258190113	0.0838956140282919
"75"	"NDSU30"	"forward"	6141090	921163500	5218497	773051846	3397101	504004584	0.150232776266103	0.349026932467337	0.44682442367723
"76"	"NDSU30"	"reverse"	6141090	921163500	5218497	768925707	3397101	502597461	0.150232776266103	0.349026932467337	0.44682442367723
"77"	"NDSU4"	"forward"	9410814	1411622100	7024274	893408910	5777289	735865566	0.253595491314566	0.177525107932863	0.386101032280523
"78"	"NDSU4"	"reverse"	9410814	1411622100	7024274	969830478	5777289	802718683	0.253595491314566	0.177525107932863	0.386101032280523
"79"	"NDSU5"	"forward"	5268449	790267350	5093536	758765168	4894260	729347307	0.033200093613889	0.0391233123708167	0.0710245083515091
"80"	"NDSU5"	"reverse"	5268449	790267350	5093536	754007712	4894260	724885761	0.033200093613889	0.0391233123708167	0.0710245083515091
"81"	"NDSU6"	"forward"	6452300	967845000	6290574	935214223	5957486	885981708	0.0250648605923469	0.0529503348978964	0.0766880027277095
"82"	"NDSU6"	"reverse"	6452300	967845000	6290574	929568505	5957486	880653556	0.0250648605923469	0.0529503348978964	0.0766880027277095
"83"	"NDSU7"	"forward"	6197026	929553900	4747672	700694289	4510091	667187471	0.233878960649834	0.050041578272467	0.272216866606659
"84"	"NDSU7"	"reverse"	6197026	929553900	4747672	698231226	4510091	666045190	0.233878960649834	0.050041578272467	0.272216866606659
"85"	"NDSU8"	"forward"	6258258	938738700	3734877	551364641	3538620	523475420	0.403208209057536	0.0525471119932464	0.43456789413284
"86"	"NDSU8"	"reverse"	6258258	938738700	3734877	550322380	3538620	523356701	0.403208209057536	0.0525471119932464	0.43456789413284
"87"	"NDSU9"	"forward"	6222869	933430350	4636541	683837113	2234933	331194333	0.254919073501306	0.517974067305778	0.640851671471792
"88"	"NDSU9"	"reverse"	6222869	933430350	4636541	680061567	2234933	331185761	0.254919073501306	0.517974067305778	0.640851671471792
