"ID"	"read"	"sum_len"	"num_seqs"	"min_len"	"avg_len"	"max_len"
"667"	"SRR13687525"	"forward"	322262604	1565699	35	205.8	251
"668"	"SRR13687525"	"reverse"	324057475	1565699	35	207	251
"669"	"SRR13729863"	"forward"	398620448	2752700	35	144.8	149
"670"	"SRR13729863"	"reverse"	398642295	2752700	35	144.8	149
"671"	"SRR13729864"	"forward"	287568656	2007201	35	143.3	149
"672"	"SRR13729864"	"reverse"	287610073	2007201	35	143.3	149
"673"	"SRR13733746"	"forward"	271924223	1131777	35	240.3	251
"674"	"SRR13733746"	"reverse"	272064794	1131777	35	240.4	251
"675"	"SRR13734520"	"forward"	237364658	974193	35	243.7	251
"676"	"SRR13734520"	"reverse"	237335291	974193	35	243.6	251
"677"	"SRR13734531"	"forward"	77128787	314995	35	244.9	251
"678"	"SRR13734531"	"reverse"	77122858	314995	35	244.8	251
"679"	"SRR13769915"	"forward"	334071509	1382634	35	241.6	251
"680"	"SRR13769915"	"reverse"	334259648	1382634	35	241.8	251
"681"	"SRR13771182"	"forward"	237185680	972670	35	243.9	251
"682"	"SRR13771182"	"reverse"	237320661	972670	35	244	251
"683"	"SRR13771183"	"forward"	218818616	893508	35	244.9	251
"684"	"SRR13771183"	"reverse"	218983543	893508	35	245.1	251
"685"	"SRR13785576"	"forward"	312675005	1349763	35	231.7	251
"686"	"SRR13785576"	"reverse"	313019813	1349763	35	231.9	251
"687"	"SRR13796383"	"forward"	559753884	2327510	35	240.5	251
"688"	"SRR13796383"	"reverse"	559962691	2327510	35	240.6	251
"689"	"SRR13811181"	"forward"	205469845	849809	35	241.8	251
"690"	"SRR13811181"	"reverse"	206010564	849809	35	242.4	251
"691"	"SRR13811257"	"forward"	140529345	578870	35	242.8	251
"692"	"SRR13811257"	"reverse"	140528213	578870	35	242.8	251
"693"	"SRR13853159"	"forward"	290235722	1474326	35	196.9	251
"694"	"SRR13853159"	"reverse"	291178037	1474326	35	197.5	251
"695"	"SRR13889041"	"forward"	229415591	960863	35	238.8	251
"696"	"SRR13889041"	"reverse"	229511879	960863	35	238.9	251
